Angle,Gain,,,,,
0,40.8,,,,,
5,40.3,,,,,
10,40.1,,,,,
15,39.7,,,,,
20,38.9,,,,,
25,38.5,,,,,
30,38.2,,,,,
35,37.6,,,,,
40,37.2,,,,,
45,36.3,,,,,
50,35.3,,,,,
55,34,,,,,
60,33.2,,,,,
65,32.1,,,,,
70,31.2,,,,,
75,30.2,,,,,
80,26.7,,,,,
85,25.8,,,,,
90,22,,,,,
95,26.4,,,,,
100,27.8,,,,,
105,30.2,,,,,
110,31.1,,,,,
115,32,,,,,
120,32.8,,,,,
125,33.4,,,,,
130,35.5,,,,,
135,36.6,,,,,
140,37.3,,,,,
145,37.8,,,,,
150,38.2,,,,,
155,38.6,,,,,
160,38.8,,,,,
165,39.1,,,,,
170,39.7,,,,,
175,40.1,,,,,
180,40.2,,,,,
185,39.6,,,,,
190,39.2,,,,,
195,38.7,,,,,
200,38.1,,,,,
205,37.8,,,,,
210,37.7,,,,,
215,37.1,,,,,
220,36.7,,,,,
225,36.3,,,,,
230,35,,,,,
235,34.4,,,,,
240,33.9,,,,,
245,32,,,,,
250,31.2,,,,,
255,30.2,,,,,
260,28.2,,,,,
265,27,,,,,
270,26.4,,,,,
275,22.1,,,,,
280,20.6,,,,,
285,26,,,,,
290,28.9,,,,,
295,29.7,,,,,
300,30.9,,,,,
305,32.7,,,,,
310,33.6,,,,,
315,36.4,,,,,
320,36.9,,,,,
325,37.9,,,,,
330,38.4,,,,,
335,39.9,,,,,
340,40,,,,,
345,40.1,,,,,
350,40.4,,,,,
355,40.8,,,,,
360,40.8,,,,,