Angle,Gain(3 element),Gain(5 element),Gain(7 element)
0,86.4,88.8,91.8
10,85.5,87,90.2
20,83,84.8,86.7
30,82.2,81.4,83.5
40,79.6,74.3,80.3
50,74.6,69.5,76.2
60,72.9,70.9,73.2
70,71.4,72.3,72.2
80,68.3,70.4,71.8
90,69.7,71.9,72.2
100,68.8,72.4,70.4
110,69,72.7,69.5
120,70.9,77.4,73.4
130,72.7,78.1,76.9
140,75.3,79.8,79.8
150,75.2,81.5,81.6
160,75.1,81,83.5
170,77.2,81.9,83.2
180,77.7,81.5,83.5
190,77.6,81.1,82.6
200,76.7,77.8,81.2
210,75.3,75.6,80.1
220,72.5,72.3,77.1
230,71.7,68.7,75.9
240,71.1,66.2,73.9
250,69.3,67.2,72
260,69.4,66.5,71.2
270,68.2,67.4,73.5
280,71.4,68.5,71.8
290,73.4,73.7,76.5
300,78.6,78.7,80.3
310,82.3,82.2,84.2
320,84.1,85.5,87.8
330,85.5,87.5,90.2
340,86.5,88.8,91.7
350,86.9,89.1,91.9
360,86.4,88.5,91.7